Termin;Wochentag;Verband;Saison;Meisterschaft;Altersklasse;Liga;Staffel;Runde;BegegnungNr;HalleNr;HalleName;HalleStrasse;HallePLZ;HalleOrt;HeimVereinVerband;HeimVereinNr;HeimVereinName;HeimMannschaftAltersklasse;HeimMannschaftNr;GastVereinVerband;GastVereinNr;GastVereinName;GastMannschaftAltersklasse;GastMannschaftNr;SpieleHeim;SpieleGast
22.11.2014 15:00;Sa.;TTVWH;2014/15;Bezirk Schwarzwald 2014/15;Herren;Herren Kreisklasse B;Kreisklasse B Calw Herren;VR;33;1;Lemberghalle;Hohenberger Straße;72202;Nagold;TTVWH;12031;VfL Nagold;Herren;2;TTVWH;12015;SF Gechingen;Herren;2;0;0
22.11.2014 15:00;Sa.;TTVWH;2014/15;Bezirk Schwarzwald 2014/15;Herren;Herren Kreisklasse C;Kreisklasse C Calw Herren;VR;33;1;Ludwig-Uhland Schule;Uhlandstrasse 7;75328;Schömberg;TTVWH;12036;WSV Schömberg;Herren;2;TTVWH;12015;SF Gechingen;Herren;3;0;0
29.11.2014 12:00;Sa.;TTVWH;2014/15;Bezirk Schwarzwald 2014/15;Jungen U18;Jungen Bezirksklasse;Bezirksklasse Jungen;VR;24;1;Fritz - Ziegler - Halle;Grosse Äckerstrasse;72202;Nagold-Emmingen;TTVWH;12009;SF Emmingen e.V.;Jungen U18;1;TTVWH;12015;SF Gechingen;Jungen U18;1;0;0
29.11.2014 13:30;Sa.;TTVWH;2014/15;Bezirk Schwarzwald 2014/15;Jungen U18;Jungen Kreisliga;Kreisliga Nord Jungen;VR;15;;;;;;TTVWH;12001;TT Altburg;Jungen U18;1;TTVWH;12015;SF Gechingen;Jungen U18;2;0;0
29.11.2014 16:00;Sa.;TTVWH;2014/15;Bezirk Schwarzwald 2014/15;Damen;Damen Bezirksklasse;Damen Bezirksklasse;VR;19;;;;;;TTVWH;12015;SF Gechingen;Damen;1;TTVWH;12030;TTC Mühringen;Damen;2;0;0
29.11.2014 16:00;Sa.;TTVWH;2014/15;Bezirk Schwarzwald 2014/15;Herren;Herren Kreisklasse B;Kreisklasse B Calw Herren;VR;38;1;SHZ - Sporthalle1;Sprachheilzentrum;75365;Calw-Stammheim;TTVWH;12039;VfL Stammheim;Herren;2;TTVWH;12015;SF Gechingen;Herren;2;0;0
29.11.2014 19:00;Sa.;TTVWH;2014/15;Bezirk Schwarzwald 2014/15;Herren;Herren Bezirksklasse;Bezirksklasse Herren;VR;38;1;Sporthalle;Beim Wasserturm/Sportanlagen;75391;Gechingen;TTVWH;12015;SF Gechingen;Herren;1;TTVWH;12006;TTC Birkenfeld;Herren;2;0;0
29.11.2014 19:00;Sa.;TTVWH;2014/15;Bezirk Schwarzwald 2014/15;Herren;Herren Kreisklasse C;Kreisklasse C Calw Herren;VR;41;1;Sporthalle;Beim Wasserturm/Sportanlagen;75391;Gechingen;TTVWH;12015;SF Gechingen;Herren;3;TTVWH;12003;TTF Althengstett;Herren;4;0;0
03.12.2014 20:00;Mi.;TTVWH;2014/15;Bezirk Schwarzwald 2014/15;Herren;Herren Kreisklasse C;Kreisklasse C Calw Herren;VR;44;1;SHZ - Sporthalle1;Sprachheilzentrum;75365;Calw-Stammheim;TTVWH;12039;VfL Stammheim;Herren;3;TTVWH;12015;SF Gechingen;Herren;3;0;0
06.12.2014 11:00;Sa.;TTVWH;2014/15;Bezirk Schwarzwald 2014/15;Jungen U18;Jungen Bezirksklasse;Bezirksklasse Jungen;VR;26;1;Sporthalle;Beim Wasserturm/Sportanlagen;75391;Gechingen;TTVWH;12015;SF Gechingen;Jungen U18;1;TTVWH;12030;TTC Mühringen;Jungen U18;2;0;0
06.12.2014 16:00;Sa.;TTVWH;2014/15;Bezirk Schwarzwald 2014/15;Herren;Herren Bezirksklasse;Bezirksklasse Herren;VR;41;1;Sporthalle;Beim Wasserturm/Sportanlagen;75391;Gechingen;TTVWH;12015;SF Gechingen;Herren;1;TTVWH;12001;TT Altburg;Herren;1;0;0
06.12.2014 16:00;Sa.;TTVWH;2014/15;Bezirk Schwarzwald 2014/15;Herren;Herren Kreisklasse B;Kreisklasse B Calw Herren;VR;43;1;Sporthalle;Beim Wasserturm/Sportanlagen;75391;Gechingen;TTVWH;12015;SF Gechingen;Herren;2;TTVWH;12007;TV Calmbach;Herren;5;0;0
07.12.2014 20:00;So.;TTVWH;Pokal 2014/15;Bezirk Schwarzwald Pokal 2014/15 Pokal;Damen;Damen Bezirkspokal B;Bezirkspokal Damen B;Pokal;402;;;;;;TTVWH;12015;SF Gechingen;Damen;1;TTVWH;12041;TTG Unterreichenbach-Dennjächt;Damen;2;0;0
13.12.2014 19:00;Sa.;TTVWH;2014/15;Bezirk Schwarzwald 2014/15;Herren;Herren Bezirksklasse;Bezirksklasse Herren;VR;45;1;Sporthalle;Beim Wasserturm/Sportanlagen;75391;Gechingen;TTVWH;12015;SF Gechingen;Herren;1;TTVWH;12030;TTC Mühringen;Herren;2;0;0
